id,Municipality,Area km2,VIIRS Fires,VIIRS Fires per 1000km2,Year
1300631,Beruri,17265.0912886241,67,3.88066294466373,2012
1300680,Boa Vista do Ramos,2590.92802582343,18,6.94731764857858,2012
1300706,Boca do Acre,21967.7788439325,399,18.1629650787477,2012
1300805,Borba,44191.4936039227,107,2.42128046087363,2012
1300839,Caapiranga,9464.0971656426,79,8.34733610795891,2012
1300904,Canutama,33677.9521713822,1225,36.373945594024,2012
1301001,Carauari,25777.9584462427,63,2.44394838836365,2012
1301100,Careiro,6105.76950110709,151,24.7307075664453,2012
1301159,Careiro da Várzea,2678.45045947077,77,28.7479649764417,2012
1301209,Coari,57844.7594763991,284,4.90969281523027,2012
1301308,Codajás,18706.9408853979,38,2.03133159145554,2012
1301407,Eirunepé,14973.978998615,98,6.54468661997352,2012
