id,Country,MODIS Fires,MODIS Fires per 1000km2,Year
195,Colombia,22005,19.3968824728385,2017
196,China,114283,12.1927322344234,2017
198,Hong Kong S.A.R.,12,11.6923102886304,2017
199,Chile,16518,22.391830105795,2017
200,Chad,45975,36.2988649512141,2017
201,Central African Republic,164247,265.632833114517,2017
202,Cabo Verde,13,3.63870922179276,2017
203,Canada,95556,9.62969444777857,2017
204,Cameroon,44229,95.3474213247362,2017
205,Cambodia,22395,123.955409679277,2017
206,Myanmar,47231,71.4565232213239,2017
207,Burundi,451,16.6500310097602,2017
208,Burkina Faso,13265,48.6561545851056,2017
209,Bulgaria,2960,26.2848351701237,2017
210,Brunei,36,6.37484948479758,2017
211,Brazil,392719,46.3815992301107,2017
212,Botswana,15181,26.2131415248699,2017
213,Bosnia and Herzegovina,2105,40.6453846965392,2017
214,Bolivia,57948,53.3282480972997,2017
215,Bhutan,271,6.80711437000774,2017
216,Benin,14316,123.302063322054,2017
217,Belize,1433,63.1138702295971,2017
218,Belgium,532,17.3062977522296,2017
219,Belarus,1223,5.8922657678402,2017
220,Barbados,7,18.0487517173371,2017
221,Bangladesh,1456,10.7580257832289,2017
222,Bahrain,2,3.70072741688192,2017
223,The Bahamas,514,40.6664113639344,2017
224,Azerbaijan,1784,20.6241315288867,2017
225,Austria,575,6.83313365714336,2017
226,Australia,273449,35.5531025486767,2017
228,Heard Island and McDonald Islands,1,2.37937271655915,2017
231,Armenia,405,13.686647189897,2017
232,Argentina,60340,21.6857556607425,2017
233,Antigua and Barbuda,2,4.63600859685824,2017
234,Angola,333364,267.833058630713,2017
235,Andorra,2,4.51922158845943,2017
236,Algeria,10551,4.54923045786348,2017
237,Albania,1709,60.2342456420457,2017
238,Afghanistan,243,0.378603081362345,2017
1,Zimbabwe,25532,65.6359732188601,2018
2,Zambia,198586,263.804694941354,2018
3,Yemen,107,0.236430732515727,2018
4,Vietnam,13332,40.6652355959026,2018
5,Venezuela,63585,69.8394325150229,2018
7,Vanuatu,790,70.1996250776464,2018
8,Uzbekistan,2588,5.77653971535359,2018
9,Uruguay,931,5.24603038740635,2018
12,Northern Mariana Islands,5,12.7503862725399,2018
13,United States Virgin Islands,1,3.17686991084747,2018
14,Guam,8,16.6526090559136,2018
15,American Samoa,2,16.6721329181918,2018
16,Puerto Rico,56,6.28054247889354,2018
17,United States of America,131080,13.8624504219294,2018
20,Saint Helena,1,5.4016153753505,2018
27,Turks and Caicos Islands,4,12.1444214453192,2018
28,Montserrat,1,12.576566178815,2018
31,Isle of Man,1,1.78652804139412,2018
32,United Kingdom,900,3.73995388223619,2018
33,United Arab Emirates,165,2.32012526250208,2018
34,Ukraine,18821,32.9054044631447,2018
35,Uganda,19893,82.3814597692892,2018
36,Turkmenistan,2925,6.20981280726426,2018
37,Turkey,8119,10.4026253848039,2018
38,Tunisia,92,0.587421570056327,2018
39,Trinidad and Tobago,74,14.5618508423437,2018
40,Tonga,1,2.32378996746375,2018
41,Togo,9073,159.45117854365,2018
42,East Timor,754,50.4067930959752,2018
43,Thailand,18117,35.2532657026103,2018
44,Tanzania,69955,74.2831042621694,2018
45,Tajikistan,83,0.582883645390539,2018
46,Taiwan,379,10.5525440597751,2018
47,Syria,529,2.84828242409642,2018
48,Switzerland,78,1.88787627758541,2018
49,Sweden,1100,2.46830155258979,2018
50,eSwatini,1174,69.2149176158423,2018
51,Suriname,572,3.94660686646282,2018
52,South Sudan,208759,335.988968531,2018
53,Sudan,32364,17.4312024445205,2018
54,Sri Lanka,944,14.3544487233488,2018
55,Spain,1676,3.30752491090541,2018
56,South Korea,938,9.65253067796351,2018
57,South Africa,43061,35.2941379283442,2018
58,Somalia,182,0.385962909002447,2018
59,Somaliland,7,0.0417153203000958,2018
60,Solomon Islands,15,0.585185735679298,2018
61,Slovakia,368,7.58950093543062,2018
62,Slovenia,35,1.72885720680536,2018
63,Singapore,1,2.07135542715347,2018
64,Sierra Leone,19944,278.64191655496,2018
66,Republic of Serbia,3929,50.6001779042238,2018
67,Senegal,15080,76.7004078390853,2018
68,Saudi Arabia,2471,1.28593197171755,2018
69,São Tomé and Principe,4,4.07557317330333,2018
71,Samoa,13,4.82964030441693,2018
72,Saint Vincent and the Grenadines,1,3.22671733085261,2018
74,Saint Kitts and Nevis,6,25.8427651346932,2018
75,Rwanda,128,5.06477312450653,2018
76,Russia,268003,15.7894503498783,2018
77,Romania,3560,15.0630414395159,2018
78,Qatar,225,20.358897437046,2018
79,Portugal,1308,14.3979003941589,2018
80,Poland,682,2.17361365213319,2018
81,Philippines,4663,16.1247728186455,2018
82,Peru,13628,10.5559482114712,2018
83,Paraguay,30310,75.7845872063376,2018
84,Papua New Guinea,7933,17.159882595419,2018
85,Panama,1108,14.9861696109326,2018
87,Pakistan,12972,14.8628006844402,2018
88,Oman,1384,4.44737846254673,2018
89,Norway,140,0.361935437757006,2018
90,North Korea,689,5.61862172604962,2018
91,Nigeria,68369,75.3098949321815,2018
92,Niger,1254,1.06163104993531,2018
93,Nicaragua,5086,39.5030201471434,2018
94,New Zealand,455,1.70253236947562,2018
97,Netherlands,358,9.60363945232692,2018
98,Aruba,2,12.9310596538621,2018
100,Nepal,2991,20.3501164832245,2018
102,Namibia,9636,11.7148260261211,2018
103,Mozambique,148298,188.170277884304,2018
104,Morocco,278,0.477870316831063,2018
105,Western Sahara,2,0.0220768884823666,2018
106,Montenegro,122,8.91180904767035,2018
107,Mongolia,660,0.421857027196222,2018
108,Moldova,483,14.5447923029559,2018
110,Mexico,61626,31.4759195070899,2018
111,Mauritius,30,16.0097195093769,2018
112,Mauritania,132,0.127488952583088,2018
113,Malta,2,7.3041704191075,2018
114,Mali,25427,20.274782770253,2018
115,Maldives,25,378.106097628976,2018
116,Malaysia,3260,9.99379662304329,2018
117,Malawi,8360,70.0496114504628,2018
118,Madagascar,63219,106.639571581937,2018
119,Macedonia,545,21.4563155485649,2018
120,Luxembourg,81,30.908245945115,2018
121,Lithuania,69,1.06454112688269,2018
123,Libya,4012,2.47085596577189,2018
124,Liberia,5523,57.9829650460083,2018
125,Lesotho,187,6.23519005954947,2018
126,Lebanon,38,3.79658104888995,2018
127,Latvia,143,2.21435001673954,2018
128,Laos,28101,123.124107934911,2018
129,Kyrgyzstan,454,2.28222924015405,2018
130,Kuwait,613,35.4176461295618,2018
131,Kosovo,166,15.1881120403082,2018
133,Kenya,1885,3.18310051704432,2018
134,Kazakhstan,30858,11.3418953764304,2018
135,Jordan,42,0.473066698019413,2018
136,Japan,2924,7.89684135640216,2018
137,Jamaica,198,18.1684237719197,2018
138,Italy,3597,11.9583687853586,2018
139,Israel,108,4.85051827167319,2018
140,Palestine,23,3.63421766112076,2018
141,Ireland,121,1.75409484621606,2018
142,Iraq,40341,92.2643433285145,2018
143,Iran,27586,17.0089070916823,2018
144,Indonesia,37735,20.2450234046323,2018
145,India,90794,28.8395160365684,2018
146,Iceland,1,0.00982131905519174,2018
147,Hungary,295,3.16476895008562,2018
148,Honduras,8159,72.1343949475181,2018
149,Haiti,286,10.7020134166833,2018
150,Guyana,1501,7.11297013304107,2018
151,Guinea-Bissau,4291,134.381767507675,2018
152,Guinea,64131,262.897140118191,2018
153,Guatemala,6703,62.0063499017055,2018
155,Greece,826,6.34046895379427,2018
156,Ghana,48782,204.486498189683,2018
157,Germany,3127,8.74781147712672,2018
158,Georgia,424,6.10835891525494,2018
159,Gambia,914,88.9545616996149,2018
160,Gabon,2214,8.53179373171853,2018
161,France,2454,3.85810222255588,2018
166,French Polynesia,3,1.15142525913577,2018
167,New Caledonia,217,11.6566918252287,2018
170,Finland,268,0.805744778057094,2018
171,Fiji,475,25.8905985306646,2018
172,Ethiopia,53514,47.4795495710367,2018
173,Estonia,60,1.31297045115996,2018
174,Eritrea,231,1.87427316519979,2018
175,Equatorial Guinea,183,6.89913750490605,2018
176,El Salvador,1391,68.4706687725786,2018
177,Egypt,1322,1.3196522951222,2018
178,Ecuador,5284,20.759936761864,2018
179,Dominican Republic,1361,28.0964247698657,2018
