id,Municipality,Area km2,MODIS Fires,MODIS Fires per 1000km2,Year
1301902,Itacoatiara,8820.1661304317,11,1.247142042149,2001
1302108,Japurá,55750.8087441579,2,0.035873919052512,2001
1302207,Juruá,19384.182919185,1,0.0515884525114689,2001
1302405,Lábrea,68246.7795432887,74,1.0843002482346,2001
1302504,Manacapuru,7320.11549790585,6,0.819659198234849,2001
1302603,Manaus,10873.7469101604,4,0.367858479054945,2001
1302702,Manicoré,48273.8713728947,23,0.476448218174486,2001
1302900,Maués,40010.4705074089,37,0.924757932880308,2001
1303205,Novo Airão,37753.590063227,1,0.0264875472326015,2001
1303304,Novo Aripuanã,41239.2248550323,18,0.436477651150698,2001
1303403,Parintins,5951.51606428328,1,0.168024414149074,2001
1303536,Presidente Figueiredo,25511.9210397708,22,0.862341960282176,2001
1303569,Rio Preto da Eva,5803.03653762192,2,0.344647149304285,2001
